# Unfamiliar words — words you need to practice
# Format: word	TAB	meaning
# This file is generated by the init-wordlist skill.
abandon	v. 遗弃；离开；放弃；终止；陷入n. 放任，狂热
restraint	n. 壳，贝壳；炮弹；外形vi. 剥落；设定命令行解释器的位置vt. 剥皮；炮轰
restrict	n. 庇护；避难所；遮盖物vt. 保护；使掩蔽vi. 躲避，避难n.(Shelter)人名；(英)谢尔特
restriction	n. 牧羊人；牧师；指导者v. 牧羊；带领，护送；指导；看管n.(Shepherd) （英、美、菲）谢泼德（人名）
result	n. 盾；防护物；保护者vt. 遮蔽；包庇；避开；保卫vi. 防御；起保护作用n. （Shield）（英）希尔德（人名）n.移动,轮班,移位,变化,办法,手段vt.替换,转移,改变,移转,推卸,变速vi.转换,移动,转变,推托,变速
resultant	n. 先令n. (Shilling)人名；(英)希林v.照耀,发光vt.擦亮n.光泽,光亮n.船,海船,舰v.装上船,航运,载运,在船上工作
resume	n. 装货n. 装载的货物n. 出货量43554370
retain	v. 颤抖，哆嗦；打碎n. 颤抖，哆嗦；（因恐惧产生的）寒颤；碎片
retell	n. (Shiver) （美、斯）希弗（人名）n.打击,震动,冲突,休克,突击,禾束堆,乱蓬的头发vt.使震动,使休克,使受电击,震惊得vi.震动,吓人adj.蓬乱的,浓密的
retention	n. 鞋；蹄铁；外胎vt. 给……穿上鞋；穿……鞋n. (Shoe)人名；(英)休
retire	vt. 射击，射中；拍摄；发芽；使爆炸；给…注射vi. 射击；发芽；拍电影n. 射击；摄影；狩猎；急流
retort	n. 商店；店铺vt. 购物vi. 购物；买东西
retreat	n. 店主，老板
retrieve	n. 购物，买东西v. 购物（shop的ing形式）
retrospect	n. 海滨；沿海国家（或地区）；支柱；涨潮线与落潮线之间的地带v.用支柱撑住；支撑，使稳住；帮助，支持n. (Shore) （美、英、加）肖尔 （人名）
return	adj. 短的；不足的；矮的，低的n. 短；缺乏；短路；短裤adv. 不足；突然；唐突地n. (Short) (英) 肖特 (人名)
reveal	n. 缺乏，缺少；不足
revelation	n. 缺点；短处
revenge	adv. 立刻；简短地；唐突地
reverse	n. 发射；炮弹；射手；镜头adj. 用尽的；破旧的；杂色的，闪光的
review	v. 射击（shoot的过去式和过去分词）
revise	aux. 应该；就；可能；将要；本当；竟然
revive	n. 肩，肩膀；肩部vt. 肩负，承担vi. 用肩推挤，用肩顶
revolt	vi. 呼喊；喊叫；大声说vt. 呼喊；大声说n. 呼喊；呼叫
revolution	vt. 显示；说明；演出；展出vi. 显示；说明；指示n. 显示；表演；炫耀n. (Show) （美、巴西）肖（人名）
revolutionary	n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨vt. 大量地给予；把……弄湿vi. 淋浴；下阵雨
revolve	adj. 精明的；狡猾的；机灵的n. 精明（的人）；机灵（的人）
reward	v. 尖叫；尖声说；促人注意；（无生命的东西）发出尖锐刺耳声；明显地不协调n. 尖声；尖锐的响声；感叹号（非正式）v.收缩,(使)皱缩,缩短
rhythm	vt. 耸肩，耸肩表示n. 耸肩vi. 耸肩
rib	vt. 关闭；停业；幽禁vi. 关上；停止营业n. 关闭adj. 关闭的；围绕的n. (Shut)人名；(俄)舒特；(中)室(广东话·威妥玛)
ribbon	n. 快门；百叶窗；关闭物；遮板vt. 为…装百叶窗；以百叶窗遮闭4374
rice	n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等vt. 使穿梭般来回移动；短程穿梭般运送vi. 穿梭往返
rid	adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的n. 病人
riddle	vt. 使狗去咬；呕吐；追击n. （Sick）（德、西）西克（人名）
ride	n. 疾病；呕吐；弊病
rider	n. 方面；侧面；旁边vi. 支持；赞助；偏袒adj. 旁的，侧的vt. 同意，支持n. (Side)人名；(英)赛德
ridge	adv. 向侧面地，向一旁地；平级变动地；间接地adj. 向侧面的，向一旁的；平级变动的；间接的；非正统的
ridiculous	v. 叹气；叹着气说；（风）呼啸，悲鸣n. 叹息，叹气；（尤指风发出的）叹息般的声音43824402
rifle	n. 视力；景象；眼界；见解vt. 看见；瞄准vi. 瞄准；观看adj. 见票即付的；即席的
rig	n. 观光；游览adj. 观光的；游览的v. 观光（sightsee的ing形式）；游览
rigid	n. 信号；暗号；导火线vt. 标志；用信号通知；表示adj. 显著的；作为信号的vi. 发信号n. (Signal)人名；(瑞典)西格纳尔
rigorous	n. 署名；签名；信号
rim	n. 意义；重要性；意思
ring	adj. 重大的；有效的；有意义的；值得注意的；意味深长的n. 象征；有意义的事物
riot	vt. 表示；意味；预示vi. 有重要性；要紧；冒充内行
rip	n. 沉默；寂静；缄默；不谈；无声状态vt. 使沉默；使安静；压制；消除噪音int. 安静！；别作声！
ripe	adj. 沉默的；寂静的；无记载的n. 无声电影
ripen	n. [化学] 硅；硅元素
ripple	n. 丝绸；蚕丝；丝织物adj. 丝的；丝绸的；丝制的vi. （玉米）处于长须的阶段中n. (Silk)人名；(英、瑞典)西尔克
rise	adj. 愚蠢的；不明事理的；没头脑的n. 傻瓜n. (Silly)人名；(匈)希伊；(法)西利n.银,银子vt.镀银
risk	adj. 相似的n. 类似物
ritual	adv. 类似地，差不多地；同样地，也
river	n. 朴素；简易；天真；愚蠢
road	vt. 简化；使单纯；使简易
roar	adv. 简单地；仅仅；简直；朴素地；坦白地
roast	vt. 模仿；假装；冒充adj. 模仿的；假装的
rob	adj. 同时的；联立的；同时发生的n. 同时译员
robber	n. 罪恶；罪孽；过失vi. 犯罪；犯过失vt. 犯罪n. （Sin）（罗）西恩；（匈）欣；（柬、阿拉伯）辛；（缅）信（人名）
robbery	prep. 自……以后；（表示气愤）何曾conj. 自……以来；因为adv.自……以后；此后；之前n. (Since) （法、美）新斯（人名）
robe	adj. 真诚的；诚挚的；真实的
robot	vi. 唱歌；歌颂；鸣叫；呼号vt. 唱；用诗赞颂；唱着使n. 演唱；鸣声；呼啸声n. (Sing)人名；(老、德、泰)辛
robust	n. 歌手，歌唱家n. （Singer）（美）桑热（人名）
rock	adj. 单一的；单身的；单程的n. 一个；单打；单程票vt. 选出vi.击出一垒安打
rocket	adj. 单数的；单一的；非凡的；异常的n. 单数vi.沉下,(使)下沉n.水槽,水池 接收器
rod	n. 先生；（用于姓名前）爵士；阁下；（中小学生对男教师的称呼）先生；老师n. （苏丹、德）西尔（人名）
role	n. 姐妹；（称志同道合者）姐妹；修女；护士adj. 姐妹般的；同类型的
roll	vi. 坐；位于vt. 使就座n. (Sit) （美、加）西特（人名）
roller	n. 地点；位置；场所vt. 设置；为…选址
Roman	adj. 位于…的；处于…境遇的v. 使位于；使处于（situate的过去分词）4417443344474448
romance	n. 情况；形势；处境；位置
romantic	num. 数字6；六个；六个人（或物）一组；六岁；六点钟n. (Six)（美、德）西克斯（人名）
roof	num. 十六；十六个adj. 十六的；十六个的
room	n. 第六；（比赛或竞赛的）第六名；六分之一；六年级；六度音程；六度音adj. （与 the 连用）第六的，第六个的；六分之一的
root	num. 六十，六十个；六十几，六十年代；六十岁
rope	n. 大小；尺寸adj. 一定尺寸的vt. 依大小排列vi. 可比拟n.冰鞋,溜冰,老马,可鄙的人vi.滑冰,滑过
rot	adj. 怀疑的；（哲学）怀疑论的，不可知论的
rotary	n. 素描；略图；梗概vt. 画素描或速写vi. 画素描或速写n.(Sketch)人名；(英)斯凯奇
rotate	n. 滑雪橇vi. 滑雪adj. 滑雪（用）的
rotation	n. 技能，技巧；本领，技术n. (Skill)人名；(瑞典)希尔
rotten	adj. 熟练的；有技能的；需要技能的
rough	adj. 熟练的；巧妙的v.撇去
roughly	n. 皮肤；外皮vt. 剥皮vi. 愈合；长皮
rouse	n. 裙子vt. 绕过，回避；位于…边缘vi. 沿边走，绕开；环绕
route	n. 天空；顶点vt. 把…投向空中；把…挂得过高vi. 踢或击高空球；把桨叶翘得过高；飞涨n. (Sky)人名；(英)斯凯n.松弛,静止,淡季,闲散,家常裤adj.松弛的,不流畅的,疏忽的,软弱的,漏水的,呆滞的,懒散的adv.马虎地,缓慢地vt.使松弛,使缓慢,马虎从事vi.松懈,减弱,松驰v.砰地关上,砰地放下,猛力抨击,冲击n.砰,猛击,撞击,冲击vt.拍,掌击,拍击n.拍,掌击,拍击n.屠宰,残杀,屠杀v.屠宰,残杀,屠杀
row	n. 奴役；奴隶制度；奴隶身份
royal	vi. 睡，睡觉n. 睡眠n. (Sleep)人名；(英)斯利普
royalty	adj. 困倦的，瞌睡的；（地方）冷清的，寂静的；（生意，产业等）没有活力的
rub	n. [机] 套筒，[机] 套管；袖子，[服装] 袖套vt. 给……装袖子；给……装套筒
rubbish	n. 薄片；部分；菜刀，火铲vt. 切下；把…分成部分；将…切成薄片
rude	vi. 切开；割破v.(使)滑动,(使)滑行n.滑,滑动,幻灯片
rug	adj. 轻微的，少量的；脆弱的；细长的；不重要的vt. 轻视，忽略；怠慢n. 怠慢；轻蔑
ruin	adv. 些微地，轻微地；纤细地，瘦小的
rule	adj. 苗条的；修长的；微小的；差的vt. 使…体重减轻；使…苗条
ruler	vi. 减轻体重；变细n. (Slim)人名；(阿拉伯)萨利姆；(英、西)斯利姆n.滑倒,事故,片,纸片;vi.滑动,滑倒,失足,减退;vt.使滑动,滑过,摆脱,闪开,塞入;adj.滑动的,活络的,有活结的;Serial Line InterfaceProtocol,串行线路接口协议4459446244664479
rumour	n. 拖鞋vt. 用拖鞋打
run	adj. 滑的；狡猾的；不稳定的
runner	n. 狭长的切口；裂缝v. 使有狭缝；撕裂；使成长条；眯起眼睛
rupture	n. 标语；呐喊声
rural	n. 斜坡；倾斜；斜率；扛枪姿势vi. 倾斜；逃走vt. 倾斜；使倾斜；扛
Russian	adj. 慢的；减速的；迟钝的vi. 变慢；变萧条vt. 放慢；阻碍adv.慢慢地；迟缓地n. (Slow)人名；(英)斯洛
rusty	n. 贫民窟；（不宜居住的）房屋；脏乱的地方v. （为猎奇或救济）去贫民窟；将就适应，过穷日子
sack	adj. 狡猾的；淘气的；诡密的n. (Sly)人名；(英)斯莱
sacred	adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的adv. 小小地；卑鄙地n. 小件物品；矮小的人n. (Small)人名；(英)斯莫尔
sacrifice	adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的n.（Smart）（法）斯马尔；（英、德）斯马特（人名）v.打碎,粉碎n.打碎,粉碎adj.出色的
sad	n. 气味，嗅觉；臭味v. 嗅，闻；有……气味；察觉到；发出……的气味n. (Smell) （美、俄、英、印、新）史默乐（人名）
saddle	v. 微笑；微笑着表示；露出（某种笑容）n. 微笑，笑容；喜色n.(Smile) （俄、印度、美）斯米莱（人名）
sadly	n. 烟雾
sadness	n. 烟；抽烟；无常的事物vi. 冒烟，吸烟；抽烟；弥漫vt. 吸烟；抽
safe	adj. 顺利的；光滑的；平稳的vt. 使光滑；消除（障碍等）；使优雅；缓和n. 平滑部分；一块平地vi. 变平静；变平滑adv. 光滑地；平稳地；流畅地
safeguard	adv. 平稳地，平滑地；顺利地，流畅地；平静地；均匀地
safely	vt. 走私；偷运vi. 走私，私运；偷带
safety	n. 小吃，点心；快餐；易办到的事，小事一桩v. 吃点心（或快餐、小吃）
sail	n. 蛇；阴险的人vi. 迂回前进vt. 拉（木材等）；迂回前进
sailor	vt. 突然折断，拉断；猛咬；啪地关上vi. 咬；厉声说；咯嗒一声关上n. 猛咬；劈啪声；突然折断adj. 突然的v.攫取n.攫取
saint	n. 雪，积雪；下雪vi. 降雪vt. 使纷纷落下；使变白n. (Snow)人名；(英)斯诺
sake	n. 暴风雪；雪暴
salad	adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的
salary	adv. 如此，这么；确是如此conj. 所以；因此pron. 这样n. (So)人名；(柬)索
sale	vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透vi. 浸泡；渗透n. 浸；湿透；大雨
salesman	n. 肥皂vt. 将肥皂涂在……上；俚对……拍马屁vi. 用肥皂擦洗
salt	vi. 急升，激增；高飞；升空；翱翔；（树木、建筑物等）高耸；（情绪）高涨n. 高飞；高涨n. （Soar）（英、葡）索尔（人名）44944515
salute	vi. 啜泣，呜咽；（风等）发出呜咽声vt. 哭诉，啜泣n. 啜泣，呜咽
sample	n. 英式足球，足球
sanction	adj. 社会的，社交的；群居的n. 联谊会；联欢会
sand	n. 社会主义
satellite	n. 社会学；群体生态学
satisfaction	n. 短袜；一击vt. 重击；给……穿袜adv. 正着地；不偏不倚地adj.非常成功的n. (Sock)人名；(德)佐克
satisfactory	n. 苏打；碳酸水n. (Soda)人名；(意)索达；(日)曾田(姓)
satisfy	adj. 软的，柔软的；温柔的，温和的；软弱的；笨的adv. 柔软地；温和地n. 柔性；柔软的东西；柔软部分
saturate	adv. 轻声地；温柔地；柔和地
Saturday	n. 软件
sauce	n. 土地；土壤；国家；粪便；务农；温床vt. 弄脏；污辱vi. 变脏
saucer	adj. 太阳的；日光的；利用太阳光的；与太阳相关的n. 日光浴室n.（Solar）（法、英、意、西、塞、捷）索拉尔（人名）
sausage	n. 军人；[昆] 兵蚁；懒汉；一片烤面包vi. 当兵；磨洋工；坚持干；假称害病adj.单独的,唯一的n.脚底,鞋底,基础v.换鞋底
saving	adj. 固体的；可靠的；立体的；结实的；一致的n. 固体；立方体n.(Solid)人名；(瑞典)索利德
saw	n. 团结，团结一致
scale	n. 独奏；独唱；独奏曲adj. 独奏的；独唱的；单独的vt. 单人攀登；单独驾vi. 单独表演；放单飞adv. 单独地
scan	adj. [化学] 可溶的，可溶解的；可解决的
scandal	n. 解决方案；溶液；溶解；解答
scar	vt. 解决；解答；溶解vi. 作解答adj.一些,少许,若干,有些,大约,相当的 pron.一些,若干,有些,某些
scarce	pron. 有人，某人；重要人物n. 大人物，重要人物
scarcely	adv. 以某种方法；莫名其妙地
scare	pron. 有人，某人；重要人物pron.某事,某物adj.有点象,大约
scared	adv. 改天；来日；在某一时候adj. 以前的；某一时间的
scarf	adv. 有时，间或
scene	adv. 在某处；到某处n. 某个地方
scenery	n. 儿子；孩子（对年轻人的称呼）；男性后裔n. (Son)人名；(土、老、柬)松；(法、罗)索恩；(日)存(名)；(日)孙(姓)；(越)山
sceptical	adv. 快；不久，一会儿；立刻；宁愿4519
schedule	adj. 复杂的；精致的；久经世故的；富有经验的v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）
scheme	adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的n. 溃疡，痛处；恨事，伤心事n. (Sore)人名；(法)索尔；(意)索雷
scholar	n. 悲伤；懊悔；伤心事vi. 懊悔；遗憾；感到悲伤vt. 为…悲痛45234524452645284532
scholarship	adj. 遗憾的；对不起的，抱歉的int. 对不起，抱歉（表示委婉的拒绝等）
school	n. 种类；方式；品质；[计]（资料、数据的）分类，排序vi. 分类；协调；交往vt. 将…分类；将…排序；挑选出某物
science	n. 灵魂；心灵；精神；鬼魂n. 一种人，某种人（强调具有某种特质的人）adj. 美国黑人文化的n. （Soul）（英、法）苏尔（人名）n.声音,语音,噪音,吵闹,海峡,听力范围,探条adj.健全的,可靠的,合理的,有效彻底的,健康的adv.彻底地,充分地vi.发出声音,回响,测深,听起来vt.使发声,宣告,听诊,测...深,试探
scientific	n. 汤，羹；马力vt. 加速；增加马力
scientist	adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的vi. 发酵；变酸；厌烦
scissors	vt. 使变酸；使失望n. 酸味；苦事n. (Sour)人名；(柬)索
scold	n. 来源；水源；原始资料n. (Source)人名；(法)苏尔斯
